Sample,Sample_Details,Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Name_Details_Gene,Cell_Type,Gene,Rep,qPCR_Sample_Name,qPCR_Name,qPCR_Date,qPCR_Researcher,CT,qPCR_Efficiency,Control_Ct_Mean_GAPDH_iPSC,EdeltadeltaCt_GAPDH_iPSC,Control_Ct_Mean_GAPDH_MSC,EdeltadeltaCt_GAPDH_MSC,Control_Ct_Mean_GUSB_iPSC,EdeltadeltaCt_GUSB_iPSC,Control_Ct_Mean_GUSB_MSC,EdeltadeltaCt_GUSB_MSC,Control_Ct_Mean_GAPDHandGUSB_iPSC,EdeltadeltaCt_GAPDHandGUSB_iPSC,Control_Ct_Mean_GAPDHandGUSB_MSC,EdeltadeltaCt_GAPDHandGUSB_MSC
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C4,C4 Osteogenic,C40210,C40210 Osteogenic,C40210 Osteogenic - ALB,Osteogenic,ALB,2,C4O2,study-collection-qPCR-C4 - plate1,9/17/2020,Emilie Briscoe,32.82851028,1.98,30.89530436,0.35230028,31.39538638,2.1863845,30.89530436,0.31873477,31.39538638,0.59587187,30.89530436,0.33470995,31.39538638,1.12218593
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C4,C4 Osteogenic,C40210,C40210 Osteogenic,C40210 Osteogenic - ALB,Osteogenic,ALB,3,C4O2,study-collection-qPCR-C4 - plate1,9/17/2020,Emilie Briscoe,31.7992382,1.98,30.89530436,0.65319419,31.39538638,4.05373974,30.89530436,0.81684202,31.39538638,1.52707901,30.89530436,0.73296778,31.39538638,2.45742957
Sample,Sample iPSC,Chimpanzee,Chimpanzee iPSC,C5,C5 iPSC,C40280,C40280 iPSC,C40280 iPSC - ALB,iPSC,ALB,1,C5I2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.77694321,2.1,30.44373131,1.14083955,30.45735423,0.29001872,30.44373131,0.97558641,30.45735423,0.64842726,30.44373131,1.0511016,30.45735423,0.44884469
Sample,Sample iPSC,Chimpanzee,Chimpanzee iPSC,C5,C5 iPSC,C40280,C40280 iPSC,C40280 iPSC - ALB,iPSC,ALB,2,C5I2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.34989166,2.1,30.44373131,0.94146314,30.45735423,0.23933421,30.44373131,0.74272328,30.45735423,0.49365388,30.44373131,0.82203143,30.45735423,0.35102643
Sample,Sample iPSC,Chimpanzee,Chimpanzee iPSC,C5,C5 iPSC,C40280,C40280 iPSC,C40280 iPSC - ALB,iPSC,ALB,3,C5I2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.20435905,2.1,30.44373131,0.93104809,30.45735423,0.23668655,30.44373131,1.3800894,30.45735423,0.91728172,30.44373131,1.15735577,30.45735423,0.49421768
Sample,Sample MSC,Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,C40280 MSC - ALB,MSC,ALB,1,C5M2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,31.40490913,2.1,30.44373131,2.04280817,30.45735423,0.51931282,30.44373131,0.95693232,30.45735423,0.63602874,30.44373131,1.36425097,30.45735423,0.58256671
Sample,Sample MSC,Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,C40280 MSC - ALB,MSC,ALB,2,C5M2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.34934616,2.1,30.44373131,4.10863204,30.45735423,1.04447659,30.44373131,1.1882052,30.45735423,0.78974516,30.44373131,2.08840126,30.45735423,0.89179563
Sample,Sample MSC,Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,C40280 MSC - ALB,MSC,ALB,3,C5M2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,29.61780739,2.1,30.44373131,7.2522169,30.45735423,1.84362354,30.44373131,2.99530303,30.45735423,1.99083967,30.44373131,4.50751934,30.45735423,1.924815
Sample,Sample Adipogenic,Chimpanzee,Chimpanzee Adipogenic,C5,C5 Adipogenic,C40280,C40280 Adipogenic,C40280 Adipogenic - ALB,Adipogenic,ALB,1,C5A2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.84569168,2.1,30.44373131,14.75815581,30.45735423,3.75174707,30.44373131,1.19394292,30.45735423,0.79355875,30.44373131,3.76089268,30.45735423,1.60598815
Sample,Sample Adipogenic,Chimpanzee,Chimpanzee Adipogenic,C5,C5 Adipogenic,C40280,C40280 Adipogenic,C40280 Adipogenic - ALB,Adipogenic,ALB,2,C5A2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.44088554,2.1,30.44373131,4.41241556,30.45735423,1.12170296,30.44373131,0.4459647,30.45735423,0.29641215,30.44373131,1.24354503,30.45735423,0.53102248
Sample,Sample Adipogenic,Chimpanzee,Chimpanzee Adipogenic,C5,C5 Adipogenic,C40280,C40280 Adipogenic,C40280 Adipogenic - ALB,Adipogenic,ALB,3,C5A2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,30.09765434,2.1,30.44373131,19.6466263,30.45735423,4.99447042,30.44373131,0.77685573,30.45735423,0.51634015,30.44373131,3.3308589,30.45735423,1.42235378
Sample,Sample Chondrogenic,Chimpanzee,Chimpanzee Chondrogenic,C5,C5 Chondrogenic,C40280,C40280 Chondrogenic,C40280 Chondrogenic - ALB,Chondrogenic,ALB,1,C5C2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,33.36687088,2.1,30.44373131,3.02327304,30.45735423,0.76856186,30.44373131,0.26065446,30.45735423,0.17324499,30.44373131,0.80224325,30.45735423,0.34257642
Sample,Sample Chondrogenic,Chimpanzee,Chimpanzee Chondrogenic,C5,C5 Chondrogenic,C40280,C40280 Chondrogenic,C40280 Chondrogenic - ALB,Chondrogenic,ALB,2,C5C2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,32.4677124,2.1,30.44373131,1.47010321,30.45735423,0.37372254,30.44373131,0.18333045,30.45735423,0.12185129,30.44373131,0.4694493,30.45735423,0.20046571
Sample,Sample Chondrogenic,Chimpanzee,Chimpanzee Chondrogenic,C5,C5 Chondrogenic,C40280,C40280 Chondrogenic,C40280 Chondrogenic - ALB,Chondrogenic,ALB,3,C5C2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,31.63328362,2.1,30.44373131,2.08979759,30.45735423,0.53125825,30.44373131,0.35692925,30.45735423,0.2372344,30.44373131,0.79318313,30.45735423,0.33870754
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C5,C5 Osteogenic,C40280,C40280 Osteogenic,C40280 Osteogenic - ALB,Osteogenic,ALB,1,C5O2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,31.25852203,2.1,30.44373131,49.77378685,30.45735423,12.65325161,30.44373131,5.46079554,30.45735423,3.62953875,30.44373131,15.43776382,30.45735423,6.59228216
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C5,C5 Osteogenic,C40280,C40280 Osteogenic,C40280 Osteogenic - ALB,Osteogenic,ALB,2,C5O2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,31.54000092,2.1,30.44373131,30.09304013,30.45735423,7.65010727,30.44373131,3.76023055,30.45735423,2.4992517,30.44373131,9.99469006,30.45735423,4.26796379
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C5,C5 Osteogenic,C40280,C40280 Osteogenic,C40280 Osteogenic - ALB,Osteogenic,ALB,3,C5O2,study-collection-qPCR-C5 - plate1,9/30/2020,Emilie Briscoe,31.4652462,2.1,30.44373131,31.40922253,30.45735423,7.9847008,30.44373131,4.22267723,30.45735423,2.80661866,30.44373131,10.86849777,30.45735423,4.64109989
Sample,Sample iPSC,Chimpanzee,Chimpanzee iPSC,C6,C6 iPSC,C3624,C3624 iPSC,C3624 iPSC - ALB,iPSC,ALB,1,C6I2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,32.38634491,2.03,31.23757172,1.70268527,35.76136525,12.59396606,31.23757172,0.64243454,35.76136525,9.80202337,31.23757172,1.0346462,35.76136525,11.07813875
Sample,Sample iPSC,Chimpanzee,Chimpanzee iPSC,C6,C6 iPSC,C3624,C3624 iPSC,C3624 iPSC - ALB,iPSC,ALB,2,C6I2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,30.90620041,2.03,31.23757172,0.76781088,35.76136525,5.67913774,31.23757172,1.07485432,35.76136525,16.39972094,31.23757172,0.91182025,35.76136525,9.7630197
Sample,Sample iPSC,Chimpanzee,Chimpanzee iPSC,C6,C6 iPSC,C3624,C3624 iPSC,C3624 iPSC - ALB,iPSC,ALB,3,C6I2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,30.42016983,2.03,31.23757172,0.7649118,35.76136525,5.65769459,31.23757172,1.44817655,35.76136525,22.09573032,31.23757172,1.05998301,35.76136525,11.34942445
Sample,Sample MSC,Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,C3624 MSC - ALB,MSC,ALB,1,C6M2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,36.79972076,2.03,31.23757172,0.17686907,35.76136525,1.30821773,31.23757172,0.05427938,35.76136525,0.82817427,31.23757172,0.0967494,35.76136525,1.03591281
Sample,Sample MSC,Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,C3624 MSC - ALB,MSC,ALB,2,C6M2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,35.54900742,2.03,31.23757172,0.10528999,35.76136525,0.77878078,31.23757172,0.06425606,35.76136525,0.98039465,31.23757172,0.0818114,35.76136525,0.87596906
Sample,Sample MSC,Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,C3624 MSC - ALB,MSC,ALB,3,C6M2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,34.93536758,2.03,31.23757172,0.13270174,35.76136525,0.98153263,31.23757172,0.08072173,35.76136525,1.2316217,31.23757172,0.10292316,35.76136525,1.10201633
Sample,Sample Adipogenic,Chimpanzee,Chimpanzee Adipogenic,C6,C6 Adipogenic,C3624,C3624 Adipogenic,C3624 Adipogenic - ALB,Adipogenic,ALB,1,C6A1,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,32.93881607,2.03,31.23757172,0.43480607,35.76136525,3.21605704,31.23757172,0.30260082,35.76136525,4.61696898,31.23757172,0.36124064,35.76136525,3.86786707
Sample,Sample Adipogenic,Chimpanzee,Chimpanzee Adipogenic,C6,C6 Adipogenic,C3624,C3624 Adipogenic,C3624 Adipogenic - ALB,Adipogenic,ALB,2,C6A1,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,31.8681736,2.03,31.23757172,0.33902214,35.76136525,2.50758809,31.23757172,0.28139087,35.76136525,4.29335546,31.23757172,0.30802087,35.76136525,3.29803359
Sample,Sample Adipogenic,Chimpanzee,Chimpanzee Adipogenic,C6,C6 Adipogenic,C3624,C3624 Adipogenic,C3624 Adipogenic - ALB,Adipogenic,ALB,3,C6A1,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,31.24822044,2.03,31.23757172,0.28560028,35.76136525,2.11245158,31.23757172,0.48025764,35.76136525,7.32758948,31.23757172,0.37234378,35.76136525,3.98675031
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C6,C6 Osteogenic,C3624,C3624 Osteogenic,C3624 Osteogenic - ALB,Osteogenic,ALB,1,C6O2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,36.87237549,2.03,31.23757172,0.26128426,35.76136525,1.93259738,31.23757172,0.32032734,35.76136525,4.88743353,31.23757172,0.29059873,35.76136525,3.11149166
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C6,C6 Osteogenic,C3624,C3624 Osteogenic,C3624 Osteogenic - ALB,Osteogenic,ALB,2,C6O2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,36.65472794,2.03,31.23757172,0.06391243,35.76136525,0.4727303,31.23757172,0.05248311,35.76136525,0.80076742,31.23757172,0.05782572,35.76136525,0.61915019
Sample,Sample Osteogenic,Chimpanzee,Chimpanzee Osteogenic,C6,C6 Osteogenic,C3624,C3624 Osteogenic,C3624 Osteogenic - ALB,Osteogenic,ALB,3,C6O2,study-collection-qPCR-C6 - plate1,10/16/2020,Emilie Briscoe,35.47882462,2.03,31.23757172,0.07119451,35.76136525,0.52659249,31.23757172,0.07822082,35.76136525,1.19346377,31.23757172,0.07473055,35.76136525,0.80015312
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - BGLAP,iPSC,BGLAP,,H1Ir2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,31.4192276,1.85,30.84160932,1.05311857,31.89842733,3.14542492,30.84160932,1.79595273,31.89842733,1.93149557,30.84160932,1.40253671,31.89842733,2.43550959
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - BGLAP,iPSC,BGLAP,,H1Ir2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,30.99722481,1.85,30.84160932,0.88442538,31.89842733,2.64157685,30.84160932,0.76185368,31.89842733,0.81935174,30.84160932,0.81671034,31.89842733,1.41822019
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - BGLAP,iPSC,BGLAP,,H1Ir2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,30.10837555,1.85,30.84160932,1.07364704,31.89842733,3.20673878,30.84160932,0.73085888,31.89842733,0.78601774,30.84160932,0.87300696,31.89842733,1.51597945
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - BGLAP,MSC,BGLAP,,H1Mr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,32.87319946,1.85,30.84160932,0.41925062,31.89842733,1.25220595,30.84160932,0.67280067,31.89842733,0.7235778,30.84160932,0.54048659,31.89842733,0.93855673
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - BGLAP,MSC,BGLAP,,H1Mr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,30.59022141,1.85,30.84160932,0.52435032,31.89842733,1.56611479,30.84160932,1.51384504,31.89842733,1.62809685,30.84160932,0.91912095,31.89842733,1.59605653
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - BGLAP,MSC,BGLAP,,H1Mr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,32.23186111,1.85,30.84160932,0.17072558,31.89842733,0.50991836,30.84160932,0.7892884,31.89842733,0.848857,30.84160932,0.38442851,31.89842733,0.66756137
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - BGLAP,Adipogenic,BGLAP,,H1Ar2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,33.55099487,1.85,30.84160932,0.29064142,31.89842733,0.86807963,30.84160932,0.71452897,31.89842733,0.76845538,30.84160932,0.47046428,31.89842733,0.81696277
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - BGLAP,Adipogenic,BGLAP,,H1Ar2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,31.39552689,1.85,30.84160932,0.23671427,31.89842733,0.70701153,30.84160932,1.97584874,31.89842733,2.12496856,30.84160932,0.72965433,31.89842733,1.26704714
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - BGLAP,Adipogenic,BGLAP,,H1Ar2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,33.13913727,1.85,30.84160932,0.09437623,31.89842733,0.28188026,30.84160932,0.50680068,31.89842733,0.54504957,30.84160932,0.23013265,31.89842733,0.3996261
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - BGLAP,Chondrogenic,BGLAP,,H1Cr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,Undetermined,1.85,30.84160932,,31.89842733,,30.84160932,,31.89842733,,30.84160932,,31.89842733,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - BGLAP,Chondrogenic,BGLAP,,H1Cr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,Undetermined,1.85,30.84160932,,31.89842733,,30.84160932,,31.89842733,,30.84160932,,31.89842733,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - BGLAP,Chondrogenic,BGLAP,,H1Cr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,Undetermined,1.85,30.84160932,,31.89842733,,30.84160932,,31.89842733,,30.84160932,,31.89842733,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - BGLAP,Osteogenic,BGLAP,,H1Or2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,29.54076385,1.85,30.84160932,4.40201197,31.89842733,13.14780551,30.84160932,11.10905149,31.89842733,11.94746574,30.84160932,7.23424632,31.89842733,12.56229243
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - BGLAP,Osteogenic,BGLAP,,H1Or2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,27.70490074,1.85,30.84160932,11.44252684,31.89842733,34.17621726,30.84160932,15.03451872,31.89842733,16.16919299,30.84160932,13.26749741,31.89842733,23.03905271
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - BGLAP,Osteogenic,BGLAP,,H1Or2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,27.73662567,1.85,30.84160932,7.96448306,31.89842733,23.78809397,30.84160932,13.53966944,31.89842733,14.56152553,30.84160932,10.57638174,31.89842733,18.36592154
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - BGLAP,iPSC,BGLAP,1,H2I2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,30.71272469,1.8,30.17487335,1.18745952,32.38625526,5.95579462,30.17487335,1.97116781,32.38625526,8.89460546,30.17487335,1.55202215,32.38625526,7.37052035
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - BGLAP,iPSC,BGLAP,2,H2I2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,30.20510674,1.8,30.17487335,0.71579527,32.38625526,3.59012629,30.17487335,0.48414812,32.38625526,2.18464735,30.17487335,0.58231741,32.38625526,2.76541306
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - BGLAP,iPSC,BGLAP,3,H2I2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,29.60678864,1.8,30.17487335,1.17650117,32.38625526,5.90083218,30.17487335,1.04784767,32.38625526,4.72825883,30.17487335,1.10647679,32.38625526,5.25463485
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - BGLAP,MSC,BGLAP,1,H2M2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,32.57119751,1.8,30.17487335,0.18286527,32.38625526,0.91717484,30.17487335,0.30027621,32.38625526,1.35495235,30.17487335,0.23709216,32.38625526,1.12594566
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - BGLAP,MSC,BGLAP,2,H2M2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,32.62830353,1.8,30.17487335,0.16630106,32.38625526,0.83409576,30.17487335,0.17776849,32.38625526,0.80215423,30.17487335,0.17205047,32.38625526,0.81706404
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - BGLAP,MSC,BGLAP,3,H2M2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,31.95926476,1.8,30.17487335,0.26062199,32.38625526,1.30716965,30.17487335,0.20389896,32.38625526,0.92006413,30.17487335,0.22888969,32.38625526,1.0869923
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - BGLAP,Adipogenic,BGLAP,1,H2A2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,33.97159576,1.8,30.17487335,0.13887128,32.38625526,0.69651957,30.17487335,0.15658001,32.38625526,0.70654431,30.17487335,0.14802933,32.38625526,0.70298815
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - BGLAP,Adipogenic,BGLAP,2,H2A2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,32.40771866,1.8,30.17487335,0.29549097,32.38625526,1.48205768,30.17487335,0.54339978,32.38625526,2.45201175,30.17487335,0.40707484,32.38625526,1.93318979
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - BGLAP,Adipogenic,BGLAP,3,H2A2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,Undetermined,1.8,30.17487335,,32.38625526,,30.17487335,,32.38625526,,30.17487335,,32.38625526,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - BGLAP,Chondrogenic,BGLAP,1,H2C2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,Undetermined,1.8,30.17487335,,32.38625526,,30.17487335,,32.38625526,,30.17487335,,32.38625526,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - BGLAP,Chondrogenic,BGLAP,2,H2C2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,Undetermined,1.8,30.17487335,,32.38625526,,30.17487335,,32.38625526,,30.17487335,,32.38625526,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - BGLAP,Chondrogenic,BGLAP,3,H2C2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,Undetermined,1.8,30.17487335,,32.38625526,,30.17487335,,32.38625526,,30.17487335,,32.38625526,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - BGLAP,Osteogenic,BGLAP,1,H2O2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,25.34314537,1.8,30.17487335,95.81738399,32.38625526,480.5794657,30.17487335,26.25666908,32.38625526,118.479366,30.17487335,48.78927694,32.38625526,231.6992432
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - BGLAP,Osteogenic,BGLAP,2,H2O2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,24.91616058,1.8,30.17487335,43.53430927,32.38625526,218.3496795,30.17487335,16.80739621,32.38625526,75.84090886,30.17487335,26.45807887,32.38625526,125.6488564
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - BGLAP,Osteogenic,BGLAP,3,H2O2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,24.44492149,1.8,30.17487335,58.73808726,32.38625526,294.6053985,30.17487335,25.6760809,32.38625526,115.859547,30.17487335,38.10772323,32.38625526,180.9727708
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - BGLAP,iPSC,BGLAP,1,H3I2,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,30.00140572,2.08,29.87968572,0.98135314,30.65158717,1.66176841,29.87968572,1.04465577,30.65158717,1.52264674,29.87968572,1.01514265,30.65158717,1.58608687
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - BGLAP,iPSC,BGLAP,2,H3I2,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,30.32824326,2.08,29.87968572,0.70451816,30.65158717,1.19299156,29.87968572,0.81705359,30.65158717,1.19090328,29.87968572,0.7625741,30.65158717,1.1914668
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - BGLAP,iPSC,BGLAP,3,H3I2,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,29.30940819,2.08,29.87968572,1.44638027,30.65158717,2.44921928,29.87968572,1.1715916,30.65158717,1.70766311,29.87968572,1.29178689,30.65158717,2.01832345
Sample,Sample MSC,Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,H28126 MSC - BGLAP,MSC,BGLAP,1,H3M1,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,31.29392052,2.08,29.87968572,0.57389482,30.65158717,0.97180133,29.87968572,0.70646842,30.65158717,1.02971894,29.87968572,0.64315859,30.65158717,1.00488871
Sample,Sample MSC,Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,H28126 MSC - BGLAP,MSC,BGLAP,2,H3M1,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,30.79404831,2.08,29.87968572,0.51469959,30.65158717,0.87156344,29.87968572,0.53238654,30.65158717,0.77598444,29.87968572,0.52410707,30.65158717,0.81887933
Sample,Sample MSC,Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,H28126 MSC - BGLAP,MSC,BGLAP,3,H3M1,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,29.86679268,2.08,29.87968572,0.69723363,30.65158717,1.18065635,29.87968572,0.85862264,30.65158717,1.25149259,29.87968572,0.77778978,30.65158717,1.21524019
Sample,Sample Adipogenic,Human,Human Adipogenic,H3,H3 Adipogenic,H28126,H28126 Adipogenic,H28126 Adipogenic - BGLAP,Adipogenic,BGLAP,1,H3A1,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,33.90707016,2.08,29.87968572,0.09997001,30.65158717,0.16928361,29.87968572,0.29225762,30.65158717,0.42598254,29.87968572,0.17815427,30.65158717,0.27835314
Sample,Sample Adipogenic,Human,Human Adipogenic,H3,H3 Adipogenic,H28126,H28126 Adipogenic,H28126 Adipogenic - BGLAP,Adipogenic,BGLAP,2,H3A1,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,32.74064255,2.08,29.87968572,0.13900342,30.65158717,0.23538061,29.87968572,0.23235226,30.65158717,0.33866698,29.87968572,0.1831197,30.65158717,0.28611127
