,refsnp_id,ensembl_gene_stable_id
989,rs1980795,ENSG00000136169
990,rs2039134,ENSG00000120696
991,rs2061543,
992,rs2066603,
993,rs17073175,ENSG00000136144
994,rs17077179,ENSG00000073910
995,rs17381926,ENSG00000136147
996,rs17589481,
997,rs17593235,ENSG00000123201
998,rs1512235,
999,rs1561819,ENSG00000101596
1000,rs1785113,ENSG00000168675
1001,rs1786263,ENSG00000101639
1002,rs2000669,ENSG00000141441
1003,rs2543005,ENSG00000132874
1004,rs13380996,ENSG00000141627
1005,rs16949934,ENSG00000134030
1006,rs16949934,ENSG00000282825
1007,rs17596995,ENSG00000196628
1008,rs175634,ENSG00000114737
1009,rs250393,ENSG00000070950
1010,rs1377059,
1011,rs1471251,ENSG00000172493
1012,rs1381251,
1013,rs1393786,ENSG00000073711
1014,rs1512102,
1015,rs1545735,ENSG00000152592
1016,rs1427461,ENSG00000284516
1017,rs1443088,ENSG00000164142
1018,rs1558172,
1019,rs1461107,
1020,rs1483831,ENSG00000077092
1021,rs1732100,
1022,rs1499890,
1023,rs1501604,
1024,rs1603983,
1025,rs1658343,ENSG00000136068
1026,rs2086530,ENSG00000156140
1027,rs1511539,
1028,rs1523266,ENSG00000181722
1029,rs1524217,
1030,rs1901568,
1031,rs1914902,
1032,rs1949733,
1033,rs2089848,
1034,rs2374218,
1035,rs2421231,
1036,rs2163167,ENSG00000272305
1037,rs2163167,ENSG00000163933
1038,rs2498323,ENSG00000109758
1039,rs2118438,ENSG00000170365
1040,rs1836918,ENSG00000206538
1041,rs1841178,
1042,rs1874259,ENSG00000075420
1043,rs2234570,ENSG00000185049
1044,rs2247341,ENSG00000163950
1045,rs2377115,
1046,rs2442778,ENSG00000144560
1047,rs2442795,ENSG00000197548
1048,rs2442807,ENSG00000132155
1049,rs2442807,LRG_413
1050,rs2302580,ENSG00000109625
1051,rs2302580,ENSG00000155269
1052,rs1986599,ENSG00000004534
1053,rs2310357,ENSG00000154556
1054,rs1997280,ENSG00000085276
1055,rs2280405,
1056,rs2285373,ENSG00000004399
1057,rs2300922,ENSG00000136527
1058,rs13070935,ENSG00000177463
1059,rs13076750,ENSG00000145012
1060,rs13078875,
1061,rs13079477,ENSG00000145012
1062,rs13058800,
1063,rs13067363,
1064,rs16851441,
1065,rs16851782,ENSG00000173905
1066,rs13104353,
1067,rs13107325,ENSG00000138821
1068,rs17051762,ENSG00000088538
1069,rs13086822,ENSG00000114354
1070,rs13088318,
1071,rs13095652,ENSG00000088538
1072,rs13098603,
1073,rs16823002,ENSG00000181722
1074,rs13144936,
1075,rs13146627,ENSG00000197826
1076,rs13146972,ENSG00000164161
1077,rs13146972,ENSG00000285713
1078,rs13150103,
1079,rs13111336,
1080,rs17235684,ENSG00000180376
1081,rs17414558,ENSG00000274810
1082,rs17414558,ENSG00000113971
1083,rs17784714,ENSG00000114650
1084,rs17806888,ENSG00000172340
1085,rs13119535,ENSG00000197826
1086,rs16845048,
1087,rs16895971,ENSG00000178177
1088,rs16996144,ENSG00000138640
1089,rs17010957,ENSG00000138639
1090,rs17017911,ENSG00000236296
1091,rs17020442,ENSG00000151611
1092,rs17081933,ENSG00000084093
1093,rs17131824,ENSG00000178222
1094,rs17299889,
1095,rs17583662,
1096,rs17723304,ENSG00000285713
1097,rs17725600,ENSG00000164163
1098,rs17770213,ENSG00000196526
1099,rs17777628,ENSG00000164161
1100,rs17777628,ENSG00000285713
1101,rs17805818,
1102,rs1701,ENSG00000266074
1103,rs1316474,ENSG00000140443
1104,rs1351438,ENSG00000140470
1105,rs178886,ENSG00000131242
1106,rs199500,ENSG00000108379
1107,rs199500,ENSG00000277626
1108,rs199500,ENSG00000277641
1109,rs216175,ENSG00000070366
1110,rs227723,
1111,rs236595,
1112,rs1463805,ENSG00000171914
1113,rs1484194,
1114,rs1526080,ENSG00000156218
1115,rs1567085,ENSG00000259404
1116,rs1809033,
1117,rs157757,ENSG00000140386
1118,rs157769,ENSG00000140386
1119,rs1866750,
1120,rs1948497,
1121,rs1949269,ENSG00000173517
1122,rs2011013,ENSG00000156218
1123,rs1372854,ENSG00000153930
1124,rs1467246,
1125,rs1476812,
1126,rs1478610,ENSG00000266074
1127,rs1486296,
1128,rs2119009,
1129,rs2124135,
1130,rs2174110,
1131,rs2197894,
1132,rs1642763,ENSG00000129244
1133,rs2279369,ENSG00000074803
1134,rs2280470,ENSG00000157766
1135,rs1833348,ENSG00000154240
1136,rs2304655,ENSG00000279765
1137,rs2304655,ENSG00000272888
1138,rs2305705,
1139,rs1876437,
1140,rs2279064,ENSG00000141556
1141,rs2280351,
1142,rs2302458,ENSG00000197879
1143,rs2321330,ENSG00000141298
1144,rs2338115,ENSG00000276293
1145,rs2338115,ENSG00000277292
1146,rs2532111,ENSG00000007314
1147,rs2584681,
1148,rs2415150,
1149,rs2072075,ENSG00000108984
1150,rs2079796,
1151,rs2461872,ENSG00000140386
1152,rs2469086,
1153,rs2573652,ENSG00000140470
1154,rs2585039,ENSG00000156218
1155,rs2240276,ENSG00000129235
1156,rs2240276,ENSG00000108590
1157,rs2240308,ENSG00000168646
1158,rs2240308,ENSG00000266076
1159,rs2240308,LRG_296
1160,rs16939864,ENSG00000161714
1161,rs16948321,
1162,rs16957608,
1163,rs16970956,ENSG00000161692
1164,rs17179362,ENSG00000160551
1165,rs17631394,ENSG00000136485
1166,rs17683692,ENSG00000182963
1167,rs17689882,ENSG00000263715
1168,rs17689882,ENSG00000120088
1169,rs17689882,ENSG00000278232
1170,rs17689882,ENSG00000276191
1171,rs17698176,ENSG00000073969
1172,rs17698176,ENSG00000278174
1173,rs17698176,ENSG00000276262
1174,rs16942341,ENSG00000157766
1175,rs17743570,
1176,rs17767918,
1177,rs17822257,ENSG00000132359
1178,rs17826255,
1179,rs16953685,
1180,rs16956917,
1181,rs16964211,ENSG00000137869
1182,rs16966213,
1183,rs16966465,
1184,rs16967934,ENSG00000169758
1185,rs16973216,
1186,rs17117836,
1187,rs17158688,ENSG00000156218
1188,rs17198849,ENSG00000157766
1189,rs17259508,
1190,rs17270446,ENSG00000069667
1191,rs17427548,ENSG00000140367
1192,rs17456573,ENSG00000169758
1193,rs17472200,
1194,rs17527969,ENSG00000156218
1195,rs17611075,ENSG00000073417
1196,rs17639328,
1197,rs17704365,ENSG00000186417
1198,rs17737742,ENSG00000187720
1199,rs17744500,ENSG00000154237
1200,rs13897,ENSG00000174080
1201,rs202700,ENSG00000086205
1202,rs217222,ENSG00000214026
1203,rs231355,ENSG00000053918
1204,rs231355,LRG_287
1205,rs231872,ENSG00000053918
1206,rs231872,LRG_287
1207,rs231873,ENSG00000053918
1208,rs231873,LRG_287
1209,rs234857,ENSG00000053918
1210,rs234857,LRG_287
1211,rs234857,ENSG00000282076
1212,rs234886,ENSG00000053918
1213,rs234886,LRG_287
1214,rs234886,ENSG00000282076
1215,rs154001,ENSG00000138829
1216,rs154363,
1217,rs157845,
1218,rs250092,ENSG00000113578
1219,rs251215,
1220,rs253438,
1221,rs173703,ENSG00000145675
1222,rs1470144,
1223,rs1481891,ENSG00000133794
1224,rs1368634,
1225,rs1542335,
1226,rs257365,
1227,rs1384061,
1228,rs1625595,
1229,rs1783980,ENSG00000156599
1230,rs1473924,
1231,rs1790747,ENSG00000172508
1232,rs1791682,ENSG00000174547
1233,rs1793249,
1234,rs1530409,ENSG00000285262
1235,rs1530409,ENSG00000147316
1236,rs1533668,
1237,rs1541897,
1238,rs1599473,
1239,rs1940145,ENSG00000156575
1240,rs1788184,ENSG00000034677
1241,rs1971929,ENSG00000053918
1242,rs1971929,LRG_287
1243,rs1974527,ENSG00000011405
1244,rs1838439,
1245,rs1902634,
1246,rs2056246,ENSG00000129167
1247,rs2060076,
1248,rs2013265,
1249,rs2155231,
1250,rs2048369,ENSG00000012232
1251,rs2451126,ENSG00000177570
1252,rs2513094,ENSG00000160584
1253,rs2514025,
1254,rs2467974,ENSG00000165071
1255,rs224082,ENSG00000181915
1256,rs2262535,
1257,rs2272566,ENSG00000185627
1258,rs2277268,ENSG00000162337
1259,rs2282529,
1260,rs2289123,ENSG00000086991
1261,rs2291813,ENSG00000074266
1262,rs2249015,ENSG00000136960
1263,rs2322193,
1264,rs2278945,ENSG00000164741
1265,rs2304787,ENSG00000085719
1266,rs2304787,ENSG00000170289
1267,rs2383966,
1268,rs2411257,ENSG00000077782
1269,rs2411257,LRG_993
1270,rs2508836,ENSG00000162337
1271,rs1368380,
1272,rs1389874,
1273,rs1393625,
1274,rs1396611,
1275,rs1423232,
1276,rs1423544,
1277,rs1609500,ENSG00000113494
1278,rs1698027,ENSG00000113389
1279,rs1813313,
1280,rs1813615,
1281,rs1867540,
1282,rs1876658,
1283,rs1966265,ENSG00000160867
1284,rs2020383,ENSG00000134982
1285,rs2020383,LRG_130
1286,rs2108665,ENSG00000145833
1287,rs2112208,ENSG00000145675
1288,rs1428387,ENSG00000168944
1289,rs1469059,ENSG00000164330
1290,rs1527825,
1291,rs1574220,ENSG00000286001
1292,rs1574220,ENSG00000249915
1293,rs1574220,ENSG00000288622
1294,rs1417568,
1295,rs1539445,
1296,rs2253378,
1297,rs1570220,ENSG00000107957
1298,rs2278221,ENSG00000283802
1299,rs2278221,ENSG00000087116
1300,rs1755088,
1301,rs1769762,ENSG00000108175
1302,rs2454846,ENSG00000049860
1303,rs2456181,ENSG00000113761
1304,rs1800662,ENSG00000255339
1305,rs1800662,ENSG00000166136
1306,rs1800662,ENSG00000166135
1307,rs1801222,ENSG00000107611
1308,rs1801222,LRG_540
1309,rs1878249,ENSG00000148513
1310,rs2007516,
1311,rs2094119,
1312,rs2148021,ENSG00000107954
1313,rs2181834,
1314,rs2234962,ENSG00000151929
1315,rs2234962,LRG_742
1316,rs2249698,
1317,rs2279337,ENSG00000165424
1318,rs2399786,ENSG00000165609
1319,rs2435381,ENSG00000169826
1320,rs2450445,ENSG00000180628
1321,rs2482506,ENSG00000166272
1322,rs2482506,ENSG00000252994
1323,rs2484294,
1324,rs2488003,
1325,rs2559515,ENSG00000165660
1326,rs196051,
1327,rs221721,ENSG00000112541
1328,rs223604,
1329,rs225736,
1330,rs240224,ENSG00000112742
1331,rs1966,ENSG00000204540
1332,rs1966,ENSG00000235487
1333,rs1966,ENSG00000233734
1334,rs1966,ENSG00000231094
1335,rs1966,ENSG00000206458
1336,rs1966,ENSG00000233439
1337,rs174374,ENSG00000056972
1338,rs174374,LRG_1337
1339,rs1319584,
1340,rs1324119,ENSG00000083123
1341,rs1342975,
1342,rs1367889,
1343,rs1388244,
1344,rs1850417,
1345,rs1880090,ENSG00000064999
1346,rs1887508,
1347,rs13264574,
1348,rs1931634,
1349,rs1936806,ENSG00000146374
1350,rs1936806,ENSG00000286215
1351,rs1415701,ENSG00000198945
1352,rs1418296,
1353,rs1490384,ENSG00000286215
1354,rs1521142,
1355,rs1564348,ENSG00000175003
1356,rs1570534,ENSG00000112699
1357,rs1572671,
1358,rs1592269,
1359,rs2151069,ENSG00000079819
1360,rs2167460,ENSG00000151917
1361,rs2180342,ENSG00000112562
1362,rs2203181,ENSG00000184530
1363,rs16893014,
1364,rs2233940,
1365,rs2242664,ENSG00000204385
1366,rs2242664,ENSG00000231479
1367,rs2242664,ENSG00000235336
1368,rs2242664,ENSG00000228263
1369,rs2242664,ENSG00000206338
1370,rs2242664,ENSG00000206378
1371,rs2242664,ENSG00000232180
1372,rs2242664,ENSG00000229077
1373,rs13274172,
1374,rs2038135,ENSG00000137261
1375,rs13276825,
1376,rs2079705,ENSG00000189298
1377,rs2079705,ENSG00000235109
1378,rs2125738,ENSG00000171467
1379,rs2133193,ENSG00000112701
1380,rs2272874,ENSG00000204642
1381,rs2272874,ENSG00000137403
1382,rs2272874,ENSG00000206509
1383,rs2272874,ENSG00000237508
1384,rs2272874,ENSG00000235220
1385,rs2272874,ENSG00000229698
1386,rs2275337,ENSG00000153721
1387,rs2275337,ENSG00000288520
1388,rs2277103,
1389,rs16920378,
1390,rs16925089,
1391,rs2305089,ENSG00000164458
1392,rs2327506,ENSG00000095951
1393,rs16939034,
1394,rs16939514,
1395,rs17051746,
1396,rs17091182,ENSG00000147408
1397,rs2395655,ENSG00000124762
1398,rs17151388,ENSG00000175806
1399,rs17151388,ENSG00000285250
1400,rs13248671,ENSG00000179832
1401,rs13249717,
1402,rs1728122,ENSG00000146285
1403,rs13252982,ENSG00000175806
1404,rs13252982,ENSG00000285250
1405,rs1800562,ENSG00000010704
1406,rs1800562,LRG_748
1407,rs13257899,
1408,rs2569881,
1409,rs17148514,
1410,rs17450692,
1411,rs17594827,ENSG00000166900
1412,rs17728834,
1413,rs13187743,
1414,rs13357303,
1415,rs13361994,
1416,rs13160226,
1417,rs13163838,
1418,rs16902835,ENSG00000152620
1419,rs16903690,ENSG00000082068
1420,rs17052028,
1421,rs17074452,ENSG00000168246
1422,rs17075791,ENSG00000113739
1423,rs17085593,
1424,rs17213962,ENSG00000083720
1425,rs17223387,ENSG00000132837
1426,rs17251005,ENSG00000185305
1427,rs17379667,
1428,rs17409588,ENSG00000113360
1429,rs17574650,ENSG00000112964
1430,rs13173671,
1431,rs13185815,ENSG00000151422
1432,rs17676694,ENSG00000138829
1433,rs17692694,
1434,rs17714046,ENSG00000146063
1435,rs17829698,ENSG00000113595
1436,rs17010841,ENSG00000128805
1437,rs17115203,ENSG00000270316
1438,rs17115203,ENSG00000214435
1439,rs17152232,ENSG00000258539
1440,rs17152232,ENSG00000189319
1441,rs17152408,ENSG00000019995
1442,rs17501300,ENSG00000151468
1443,rs17721694,ENSG00000198964
1444,rs17736358,
1445,rs17188586,ENSG00000164741
1446,rs17221614,ENSG00000164741
1447,rs17237275,ENSG00000187955
1448,rs17384485,ENSG00000279302
1449,rs17464325,
1450,rs2499689,ENSG00000124493
1451,rs17485419,
1452,rs17660425,
1453,rs17706729,
1454,rs17739151,
1455,rs17778003,ENSG00000066827
1456,rs13199524,ENSG00000168477
1457,rs13199524,ENSG00000233323
1458,rs13199524,ENSG00000206258
1459,rs13199524,ENSG00000231608
1460,rs13199524,
1461,rs13200150,ENSG00000152894
1462,rs13200150,ENSG00000273993
1463,rs13203302,
1464,rs13214703,
1465,rs17070882,
1466,rs17075682,
1467,rs17143141,ENSG00000153162
1468,rs17630640,
1469,rs17743155,ENSG00000135597
1470,rs17784909,ENSG00000112541
1471,rs13218634,
1472,rs13340461,ENSG00000112576
1473,rs13340461,LRG_998
1474,rs16872293,
1475,rs16891209,
1476,rs235768,ENSG00000125845
1477,rs238205,ENSG00000124201
1478,rs2207995,ENSG00000088854
1479,rs2224538,
1480,rs2235863,ENSG00000054793
1481,rs2236250,ENSG00000125844
1482,rs2273145,ENSG00000124228
1483,rs2377955,
1484,rs1321432,
1485,rs1358790,
1486,rs1392625,
1487,rs1744759,ENSG00000101353
1488,rs1885120,ENSG00000078814
1489,rs1967656,ENSG00000132801
1490,rs1971480,
1491,rs2034811,
1492,rs2050091,ENSG00000118705
1493,rs2083918,ENSG00000101290
1494,rs2142698,ENSG00000101323
1495,rs2143711,
1496,rs2425241,ENSG00000080845
1497,rs2426159,ENSG00000196396
1498,rs13043313,
1499,rs16992709,
1500,rs16995009,ENSG00000124216
1501,rs17225014,
1502,rs17265513,ENSG00000174306
1503,rs17332774,ENSG00000126001
1504,rs216504,
1505,rs216531,
1506,rs1434906,
1507,rs1548817,ENSG00000165929
1508,rs1760940,ENSG00000198805
1509,rs1760940,LRG_91
1510,rs2144490,
1511,rs2145540,
1512,rs2273608,ENSG00000185559
1513,rs1956002,ENSG00000151322
1514,rs1956412,ENSG00000165521
1515,rs2295124,ENSG00000215271
1516,rs2295168,ENSG00000100815
1517,rs2296316,ENSG00000257365
1518,rs2296316,ENSG00000125952
1519,rs2296316,ENSG00000125954
1520,rs2319627,ENSG00000165804
1521,rs2351175,
1522,rs2351273,ENSG00000020426
1523,rs2359349,ENSG00000020577
1524,rs2401787,
1525,rs2430339,
1526,rs2476522,ENSG00000078304
1527,rs2525503,ENSG00000182185
1528,rs2045180,ENSG00000092140
1529,rs14976,ENSG00000168899
1530,rs206834,
1531,rs206859,ENSG00000158125
1532,rs219123,ENSG00000049323
1533,rs222486,ENSG00000115944
1534,rs17255666,ENSG00000100592
1535,rs17255891,ENSG00000151838
1536,rs17256101,
1537,rs17617994,ENSG00000075413
1538,rs17706401,
1539,rs17780143,ENSG00000012983
1540,rs17792659,ENSG00000100888
1541,rs1354617,ENSG00000178568
1542,rs1357664,
1543,rs1370394,
1544,rs1384397,ENSG00000030419
1545,rs17092197,ENSG00000176438
1546,rs17097336,
1547,rs17107592,ENSG00000198732
1548,rs17114075,
1549,rs1346789,
1550,rs1584239,
1551,rs1600212,
1552,rs1686497,ENSG00000143870
1553,rs1808357,
1554,rs1812504,
1555,rs1829526,ENSG00000143951
1556,rs1863188,
1557,rs2054123,
1558,rs2058717,
1559,rs2060199,ENSG00000136531
1560,rs2064813,ENSG00000162961
1561,rs2064813,ENSG00000162959
1562,rs2116491,ENSG00000214595
1563,rs2120335,
1564,rs2166898,ENSG00000074047
1565,rs2194701,
1566,rs2203715,ENSG00000115419
1567,rs2203715,ENSG00000115415
1568,rs2222413,
1569,rs2231250,ENSG00000115307
1570,rs2278206,ENSG00000040933
1571,rs2280509,
1572,rs2289195,ENSG00000119772
1573,rs2289195,LRG_459
1574,rs2293081,ENSG00000280537
1575,rs2293081,ENSG00000187736
1576,rs2293081,LRG_90
1577,rs2300697,ENSG00000277893
1578,rs2304402,ENSG00000196208
1579,rs2320433,
1580,rs2347287,
1581,rs2422241,
1582,rs2539979,ENSG00000115504
1583,rs2551337,ENSG00000119778
1584,rs1474052,ENSG00000035115
1585,rs1545255,ENSG00000084676
1586,rs1560386,ENSG00000172985
1587,rs2567842,
1588,rs1877945,ENSG00000144331
1589,rs1878664,
1590,rs1898711,
1591,rs2004578,
1592,rs2008845,ENSG00000049323
1593,rs2024486,
1594,rs2033412,ENSG00000214595
1595,rs136029,ENSG00000130638
1596,rs138351,ENSG00000196236
1597,rs139030,ENSG00000159307
1598,rs2051670,ENSG00000100084
1599,rs2051670,ENSG00000242259
1600,rs2235145,ENSG00000100281
1601,rs2239781,ENSG00000100345
1602,rs2239781,LRG_567
1603,rs2401072,
1604,rs2413485,
1605,rs1633445,ENSG00000099899
1606,rs1638038,
1607,rs1799932,ENSG00000100412
1608,rs2000469,
1609,rs13268,ENSG00000077942
1610,rs13015698,ENSG00000144468
1611,rs13020766,ENSG00000115414
1612,rs13386930,ENSG00000119771
1613,rs13395317,
1614,rs13398721,
1615,rs16848690,ENSG00000182263
1616,rs16987211,
1617,rs17005238,ENSG00000074047
1618,rs17035043,ENSG00000273398
1619,rs17035043,ENSG00000243667
1620,rs17038954,ENSG00000130508
1621,rs17046434,ENSG00000084676
1622,rs17046514,ENSG00000214595
1623,rs17047143,ENSG00000143970
1624,rs17181956,
1625,rs17199879,ENSG00000144535
1626,rs17199879,LRG_534
1627,rs13405352,ENSG00000115705
1628,rs13405352,ENSG00000277603
1629,rs13409792,
1630,rs17236969,
1631,rs17269605,
1632,rs17296210,ENSG00000135930
1633,rs17323225,ENSG00000158125
1634,rs17369434,
1635,rs17390720,ENSG00000143919
1636,rs17400325,ENSG00000128655
1637,rs17400325,ENSG00000284741
1638,rs17417731,ENSG00000214595
1639,rs17424787,ENSG00000075568
1640,rs17428810,ENSG00000115760
1641,rs17440378,ENSG00000135914
1642,rs17440378,ENSG00000173692
1643,rs17511102,ENSG00000163171
1644,rs17547925,
1645,rs17608593,ENSG00000181378
1646,rs17608747,ENSG00000280537
1647,rs17608747,ENSG00000187736
1648,rs17608747,LRG_90
1649,rs13429408,ENSG00000127838
1650,rs13429408,ENSG00000135926
1651,rs13432509,
1652,rs16823787,
1653,rs15052,ENSG00000105323
1654,rs15052,ENSG00000105329
1655,rs177918,ENSG00000142230
1656,rs2123731,ENSG00000276043
1657,rs2215047,
1658,rs2267630,ENSG00000105722
1659,rs2267630,ENSG00000268643
1660,rs2279008,ENSG00000099331
1661,rs2280743,ENSG00000272333
1662,rs2288912,ENSG00000224916
1663,rs2301799,ENSG00000104885
1664,rs2302061,ENSG00000104885
1665,rs2303745,ENSG00000127220
1666,rs2304204,ENSG00000126456
1667,rs2304204,ENSG00000126453
1668,rs2304524,ENSG00000170889
1669,rs2304524,ENSG00000277079
1670,rs2304524,ENSG00000274626
1671,rs2304524,ENSG00000274005
1672,rs2304524,ENSG00000277359
1673,rs2304524,ENSG00000275323
1674,rs2304524,ENSG00000278081
1675,rs2304524,ENSG00000278270
1676,rs2304524,ENSG00000274950
1677,rs2304524,ENSG00000274646
1678,rs2305746,ENSG00000105707
1679,rs2361797,ENSG00000105609
1680,rs2361797,
1681,rs2059877,ENSG00000063169
1682,rs2112798,
1683,rs1457090,ENSG00000160111
1684,rs1473280,
1685,rs1549616,ENSG00000171105
1686,rs1560711,ENSG00000129353
1687,rs1561408,ENSG00000286098
1688,rs2561528,ENSG00000086544
1689,rs2561528,ENSG00000123815
1690,rs16963431,
1691,rs17000211,ENSG00000105364
1692,rs17318596,
1693,rs17678136,ENSG00000127616
1694,rs2249651,ENSG00000205581
1695,rs1699638,
1696,rs1827747,
1697,rs2230033,ENSG00000157551
1698,rs2246036,ENSG00000159263
1699,rs13047322,ENSG00000159267
1700,rs1741,ENSG00000179889
1701,rs1741,ENSG00000275498
1702,rs187136,
1703,rs16480,
1704,rs166232,ENSG00000187555
1705,rs231210,
1706,rs213658,
1707,rs246185,
1708,rs258281,ENSG00000167964
1709,rs205722,
1710,rs221780,
1711,rs1424113,ENSG00000186153
1712,rs1323438,ENSG00000182752
1713,rs1330304,ENSG00000173068
1714,rs1330816,ENSG00000228430
1715,rs1332029,
1716,rs1404290,
1717,rs1575438,
1718,rs1427266,ENSG00000188906
1719,rs2238385,ENSG00000228146
1720,rs2238464,ENSG00000167972
1721,rs1456042,ENSG00000196935
1722,rs1598307,ENSG00000107249
1723,rs1658970,
1724,rs2288039,ENSG00000141076
1725,rs2288039,ENSG00000262788
1726,rs2301522,ENSG00000103126
1727,rs2301802,ENSG00000167978
1728,rs2304466,ENSG00000187555
1729,rs2343354,ENSG00000288130
1730,rs2343354,ENSG00000090905
1731,rs2343573,ENSG00000078328
1732,rs2388011,ENSG00000177200
1733,rs1541597,
1734,rs1854948,
1735,rs1874778,ENSG00000136828
1736,rs1434336,
1737,rs2531992,ENSG00000162104
1738,rs1466163,ENSG00000132437
1739,rs1466163,ENSG00000132436
1740,rs1339159,
1741,rs1983600,ENSG00000187535
1742,rs1318490,
1743,rs1490741,ENSG00000196739
1744,rs2056309,ENSG00000197912
1745,rs1383386,
1746,rs2108430,ENSG00000126602
1747,rs1556144,ENSG00000235007
1748,rs1609725,ENSG00000178882
1749,rs1609942,ENSG00000178882
1750,rs1486160,
1751,rs1496499,
1752,rs1669296,ENSG00000155980
1753,rs1669296,ENSG00000175203
1754,rs1932452,ENSG00000155875
1755,rs1525832,
1756,rs1528146,
1757,rs1541509,ENSG00000106034
1758,rs1984119,
1759,rs1718302,ENSG00000171759
1760,rs1994206,
1761,rs1722392,ENSG00000171759
1762,rs2000242,ENSG00000165209
1763,rs1793958,ENSG00000139219
1764,rs2025174,ENSG00000235387
1765,rs1809889,
1766,rs2134063,ENSG00000148143
1767,rs1861835,
1768,rs1871675,
1769,rs1913134,
1770,rs2222133,
1771,rs2275496,ENSG00000070061
1772,rs2275496,LRG_251
1773,rs2016266,ENSG00000170374
1774,rs2066827,ENSG00000111276
1775,rs1990224,ENSG00000006747
1776,rs2416564,ENSG00000148219
1777,rs2023844,
1778,rs2451948,
1779,rs2164747,ENSG00000166598
1780,rs2164747,ENSG00000204954
1781,rs2042000,ENSG00000131558
1782,rs2482080,ENSG00000041982
1783,rs2043539,ENSG00000106460
1784,rs2485154,
1785,rs2058278,ENSG00000106415
1786,rs2070971,ENSG00000106633
1787,rs2229840,ENSG00000196498
1788,rs2536951,ENSG00000119522
1789,rs2241960,ENSG00000111371
1790,rs2108235,
1791,rs2277339,ENSG00000198056
1792,rs2277339,ENSG00000025423
1793,rs2286029,ENSG00000060237
1794,rs2302737,ENSG00000136045
1795,rs2306694,ENSG00000144785
1796,rs2306694,ENSG00000062485
1797,rs2188177,
1798,rs2369463,ENSG00000165891
1799,rs2189741,ENSG00000048052
1800,rs2421292,
1801,rs2421370,
1802,rs2528542,ENSG00000127928
1803,rs2528795,ENSG00000049540
1804,rs2190495,ENSG00000106070
1805,rs2393791,ENSG00000135100
1806,rs2393791,LRG_522
1807,rs2218378,ENSG00000081803
1808,rs2237351,ENSG00000146592
1809,rs2460488,
1810,rs2268570,ENSG00000106633
1811,rs2286196,ENSG00000059378
1812,rs2533285,ENSG00000284461
1813,rs2533285,ENSG00000243335
1814,rs2536180,ENSG00000196937
1815,rs13334391,ENSG00000166548
1816,rs13336428,
1817,rs13338116,ENSG00000103196
1818,rs16947741,ENSG00000102935
1819,rs16971009,
1820,rs16972457,ENSG00000140836
1821,rs17201300,ENSG00000140694
1822,rs17201300,LRG_1286
1823,rs17201300,ENSG00000274829
1824,rs17345313,ENSG00000261611
1825,rs17345313,ENSG00000157429
1826,rs17770752,ENSG00000260456
1827,rs13294264,ENSG00000159899
1828,rs13283037,
1829,rs13285641,
1830,rs16909150,ENSG00000048828
1831,rs16909739,ENSG00000136861
1832,rs16909975,
1833,rs16910253,ENSG00000106804
1834,rs16910253,LRG_28
1835,rs16933693,ENSG00000148219
1836,rs16937175,ENSG00000165140
1837,rs13221560,ENSG00000064419
1838,rs13227860,
1839,rs13233552,ENSG00000198039
1840,rs17150614,
1841,rs17220352,ENSG00000148219
1842,rs17370391,
1843,rs13241668,ENSG00000006459
1844,rs13245206,ENSG00000048052
1845,rs13308256,
1846,rs17032220,ENSG00000120860
1847,rs17032480,
1848,rs17032823,
1849,rs17140133,ENSG00000048052
1850,rs17140875,
1851,rs17100291,ENSG00000267281
1852,rs17100291,ENSG00000170653
1853,rs17122659,
1854,rs17178006,ENSG00000174099
1855,rs17691418,
1856,rs17714469,
1857,rs17170429,ENSG00000122507
1858,rs17427875,ENSG00000278334
1859,rs17437838,
1860,rs17480616,ENSG00000080802
1861,rs17628518,
1862,rs17713208,
1863,rs17730411,ENSG00000146592
1864,rs385039,ENSG00000067606
1865,rs410589,
1866,rs474668,
1867,rs476000,ENSG00000160789
1868,rs476000,LRG_254
1869,rs509345,ENSG00000266472
1870,rs28624,ENSG00000116285
1871,rs2802267,ENSG00000288674
1872,rs2802267,ENSG00000143801
1873,rs2807848,ENSG00000286231
1874,rs2809346,ENSG00000118197
1875,rs2816991,
1876,rs2843146,ENSG00000116151
1877,rs2864700,ENSG00000197622
1878,rs2782641,ENSG00000142949
1879,rs2786481,ENSG00000127124
1880,rs2615075,
1881,rs2737662,ENSG00000116833
1882,rs267738,ENSG00000143418
1883,rs284182,ENSG00000069702
1884,rs284200,ENSG00000069702
1885,rs285444,ENSG00000162763
1886,rs319469,
1887,rs344916,
1888,rs349427,ENSG00000127124
1889,rs351376,
1890,rs548440,
1891,rs564914,
1892,rs4537547,
1893,rs4595370,
1894,rs4644442,
1895,rs4648832,ENSG00000116151
1896,rs4072369,ENSG00000132849
1897,rs4072980,
1898,rs4147594,ENSG00000143198
1899,rs4233168,ENSG00000116183
1900,rs4244644,
1901,rs4844620,
1902,rs4847370,
1903,rs3820623,ENSG00000143816
1904,rs3748606,ENSG00000143367
1905,rs3767802,ENSG00000198162
1906,rs3795503,ENSG00000135835
1907,rs3811418,
1908,rs3814333,
1909,rs4652527,ENSG00000143324
1910,rs4653017,ENSG00000184389
1911,rs4657698,
1912,rs4658574,ENSG00000054282
1913,rs4658574,ENSG00000276111
1914,rs4951022,ENSG00000257315
1915,rs4951022,ENSG00000058673
